tic,date,ajexdi,price,gvkey
REMX,5/1/2023,1,78.08,185808
REMX,5/2/2023,1,77.46,185808
REMX,5/3/2023,1,77.88,185808
REMX,5/4/2023,1,78.19,185808
REMX,5/5/2023,1,81.13,185808
REMX,5/8/2023,1,82.69,185808
REMX,5/9/2023,1,82.85,185808
REMX,5/10/2023,1,84.5,185808
REMX,5/11/2023,1,84.6,185808
REMX,5/12/2023,1,84.29,185808
REMX,5/15/2023,1,85.94,185808
REMX,5/16/2023,1,84.2,185808
REMX,5/17/2023,1,85.37,185808
REMX,5/18/2023,1,85.24,185808
REMX,5/19/2023,1,84.81,185808
REMX,5/22/2023,1,84.57,185808
REMX,5/23/2023,1,82.96,185808
REMX,5/24/2023,1,81.48,185808
REMX,5/25/2023,1,80.87,185808
REMX,5/26/2023,1,81.18,185808
REMX,5/30/2023,1,79.81,185808
REMX,5/31/2023,1,79.21,185808
REMX,6/1/2023,1,80.76,185808
REMX,6/2/2023,1,84.18,185808
REMX,6/5/2023,1,83.51,185808
REMX,6/6/2023,1,84.91,185808
REMX,6/7/2023,1,84.14,185808
REMX,6/8/2023,1,84.53,185808
REMX,6/9/2023,1,84.08,185808
REMX,6/12/2023,1,84.03,185808
REMX,6/13/2023,1,85.74,185808
REMX,6/14/2023,1,85.28,185808
REMX,6/15/2023,1,86.44,185808
REMX,6/16/2023,1,86.54,185808
REMX,6/20/2023,1,84.66,185808
REMX,6/21/2023,1,84.27,185808
REMX,6/22/2023,1,83.08,185808
REMX,6/23/2023,1,81.38,185808
REMX,6/26/2023,1,81.88,185808
REMX,6/27/2023,1,82.61,185808
REMX,6/28/2023,1,81.24,185808
REMX,6/29/2023,1,81.6,185808
REMX,6/30/2023,1,83.16,185808
REMX,7/3/2023,1,84.59,185808
REMX,7/5/2023,1,85.28,185808
REMX,7/6/2023,1,82.82,185808
REMX,7/7/2023,1,84.51,185808
REMX,7/10/2023,1,85.4,185808
REMX,7/11/2023,1,86.1,185808
REMX,7/12/2023,1,86.91,185808
REMX,7/13/2023,1,88.36,185808
REMX,7/14/2023,1,86.71,185808
REMX,7/17/2023,1,86.05,185808
REMX,7/18/2023,1,86.43,185808
REMX,7/19/2023,1,85.03,185808
REMX,7/20/2023,1,84.83,185808
REMX,7/21/2023,1,82.67,185808
REMX,7/24/2023,1,81.08,185808
REMX,7/25/2023,1,83,185808
REMX,7/26/2023,1,83.02,185808
REMX,7/27/2023,1,79.74,185808
REMX,7/28/2023,1,81.4,185808
REMX,7/31/2023,1,81.67,185808
REMX,8/1/2023,1,79.92,185808
REMX,8/2/2023,1,78.5,185808
REMX,8/3/2023,1,79.03,185808
REMX,8/4/2023,1,79.92,185808
REMX,8/7/2023,1,79.46,185808
REMX,8/8/2023,1,79.02,185808
REMX,8/9/2023,1,78.78,185808
REMX,8/10/2023,1,78.96,185808
REMX,8/11/2023,1,77.65,185808
REMX,8/14/2023,1,76.13,185808
REMX,8/15/2023,1,74,185808
REMX,8/16/2023,1,73.34,185808
REMX,8/17/2023,1,72.87,185808
REMX,8/18/2023,1,72.3,185808
REMX,8/21/2023,1,72.91,185808
REMX,8/22/2023,1,72.3,185808
REMX,8/23/2023,1,72.57,185808
REMX,8/24/2023,1,71.37,185808
REMX,8/25/2023,1,70.82,185808
REMX,8/28/2023,1,69.93,185808
REMX,8/29/2023,1,72.29,185808
REMX,8/30/2023,1,71.31,185808
REMX,8/31/2023,1,70.64,185808
REMX,9/1/2023,1,71.83,185808
REMX,9/5/2023,1,73.06,185808
REMX,9/6/2023,1,71.92,185808
REMX,9/7/2023,1,71.04,185808
REMX,9/8/2023,1,70.43,185808
REMX,9/11/2023,1,71.57,185808
REMX,9/12/2023,1,71.32,185808
REMX,9/13/2023,1,71.54,185808
